# Текст на менюто на Master Looter на български език.
# Това е машинен превод, направен от Claude, изкуствен интелект на Anthropic.
# Никой носител на езика все още не го е проверявал; поправки са добре дошли
# в GitHub (github.com/shin2344234/master-looter) или на страницата на мода
# в Nexus.
#
# По един ред на текст: английският оригинал, табулация, после превода.
# Редове, започващи с #, се пренебрегват. \n означава нов ред, а ред без
# превод след табулацията остава на английски, така че недовършен файл
# си е напълно използваем.
#
# Всеки заместител като %d, %s или %.1f трябва да остане точно както е
# написан и в същия ред: тези места се запълват с числа и имена по време
# на изпълнение, а ред, който ги променя, се пренебрегва, за да не се
# отпечата грешна стойност.
#
# Запази файла като MasterLooter.bg.txt до MasterLooter.asi, за да замени
# вградената в плъгина версия.

  bag full	  чантата е пълна
 (first 250)	 (първите 250)
%-18s %s (%zu hits)%s	%-18s %s (%zu съвпадения)%s
%d classes	%d класа
%d items, %d classes, %d tags	%d предмета, %d класа, %d етикета
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d ред(а) бяха пренебрегнати: заместителите %%d или %%s в тях не съвпадат с английския текст, а използването им би отпечатало грешни стойности.
%d matches%s	%d съвпадения%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d разпознати вида точки в тази сесия. Точките се именуват по префаба, от който са поставени; всичко, което тази таблица пропуска, се разпознава при първото нещо, което произведе. Номерът на типа на дадена точка се различава между отделните сесии, затова нищо не се помни след излизане от играта.
%d objects within scan range, %d lootable now.	%d обекта в обхвата на сканиране, %d готови за лут сега.
%d overrides	%d изключения
%s (key %u, row %d, tier %d)	%s (ключ %u, ред %d, ниво %d)
%s (never looted)	%s (никога не е бил вземан)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s е машинен превод, който все още не е проверен от никого. Поправки са добре дошли в GitHub или на страницата в Nexus.
%s translated by %s.	%s, преведено от %s.
%s, let go to keep it	%s, пусни, за да го запазиш
1 match%s	1 съвпадение%s
3 of 3	3 от 3
\"%s\" already exists. Saving over it asks first.	\"%s\" вече съществува. Презаписването му първо ще поиска потвърждение.
