# Text menu Master Looter v češtině.
# Toto je strojový překlad vytvořený Claude, umělou inteligencí od
# Anthropicu, a zatím ho nezkontroloval žádný rodilý mluvčí. Opravy jsou
# vítány na GitHubu (github.com/shin2344234/master-looter) nebo na
# stránce modu na Nexusu.
#
# Jeden řádek na text: anglický originál, tabulátor a pak překlad.
# Řádky začínající # se ignorují. \n znamená zalomení řádku, a řádek bez
# překladu za tabulátorem zůstává zobrazen anglicky.
# Každé %d, %s, %.1f a podobné zástupné symboly musí zůstat na stejném
# místě a ve stejném pořadí jako v angličtině, protože se za běhu
# nahrazují hodnotami; řádek, který je změní, se při načítání ignoruje.
#
# Soubor s tímto názvem umístěný vedle MasterLooter.asi přepíše vestavěnou
# kopii.

  bag full	  batoh plný
 (first 250)	 (prvních 250)
%-18s %s (%zu hits)%s	%-18s %s (%zu zásahů)%s
%d classes	%d tříd
%d items, %d classes, %d tags	%d předmětů, %d tříd, %d štítků
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d řádků bylo ignorováno: jejich zástupné symboly %%d nebo %%s neodpovídaly anglickému originálu, a jejich použití by vypsalo nesprávné hodnoty.
%d matches%s	%d výsledků%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d druhů uzlů zjištěno v této relaci. Uzly se pojmenovávají podle prefabu, ze kterého byly umístěny; cokoli, co tato tabulka nezná, se identifikuje ve chvíli, kdy to poprvé něco vydá. Číslo typu uzlu se mezi relacemi mění, takže po ukončení hry si mod nic nepamatuje.
%d objects within scan range, %d lootable now.	%d objektů v dosahu skenování, %d lze nyní lootovat.
%d overrides	%d výjimek
%s (key %u, row %d, tier %d)	%s (klíč %u, řádek %d, úroveň %d)
%s (never looted)	%s (nikdy nelootováno)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s je strojový překlad, který zatím nikdo nezkontroloval. Opravy jsou vítány na GitHubu nebo na stránce Nexus.
%s translated by %s.	%s, překlad: %s.
%s, let go to keep it	%s, uvolněním tlačítek to uložíš
1 match%s	1 výsledek%s
3 of 3	3 ze 3
\"%s\" already exists. Saving over it asks first.	\"%s\" už existuje. Přepsání se nejprve zeptá na potvrzení.
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	Kbelík od studny a podobné věci se nikdy nelootují, ale jejich aktivace donutí hru nabídnout interakci, takže je můžeš použít ručně.
Abyss and Kuku	Abyss a Kuku
Abyss gear, Kuku pots and their parts.	Vybavení Abyss, hrnce Kuku a jejich součásti.
Accessories	Doplňky
allowed	povoleno
already in your bag	už v batohu
always	vždy
always beats the class rule; never beats always	vždy má přednost před pravidlem třídy; nikdy má přednost i před vždy
Ammunition	Munice
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Cokoli označené jako questovní, napříč všemi třídami. Vypnuto ponechá příběhové předměty a části hádanek pro tvé vlastní ruce.
Arm mechanism containers too	Aktivovat i kontejnery s mechanismem
Arm nodes ourselves	Aktivovat uzly automaticky
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	Aktivace ignoruje zdi. Nastav ji krátkou, jinak budeš sbírat i skrz zeď vedlejší místnosti. Ruda je výjimkou a vždy se aktivuje až do 25 m, protože žíle trvá několik sekund, než odpoví, a když se zeptáš, až u ní stojíš, otevře se pozdě na to, aby to bylo k něčemu.
Arming range	Dosah aktivace
Auto-loot enabled	Auto-loot zapnut
Auto-loot on / off	Auto-loot zapnuto / vypnuto
Backups	Zálohy
blank for English	prázdné pro angličtinu
Books and papers	Knihy a papíry
Boss rewards, artifacts, memory items, coin pouches and reward chests.	Odměny za bosse, artefakty, vzpomínkové předměty, měšce s mincemi a truhly s odměnami.
Break veins open rather than emptying them	Rozbíjet žíly místo jejich vyprazdňování
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	Rozbití spouští vlastní stavový automat hry na žíle: dopad úderu a poté rozlomení, takže uzel vysype svůj obsah na zem a zmizí přesně tak, jako pod krumpáčem. Vyprázdnění naproti tomu vytáhne rudu rovnou ven a celé vysypání přeskočí. Žádná z cest nevyplácí bonus Mining Yield Up tvého nástroje, protože ten hra přiznává jen úderu, který počítá jako tvůj vlastní, takže si rozdíl doplň v nastavení níže. Každá žíla je udeřena jednou a pak ponechána, dokud ji hra znovu nevytvoří.
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	Motýli, brouci, vážky, včely, pavouci, štíři, šneci a další drobné tvory, které hra řadí mezi hmyz. Druhy pocházejí z tabulky tvorů; tvora, kterého tabulka nedokáže pojmenovat, mod uloví jen tehdy, když jsou zapnuté všechny kategorie, do kterých by mohl patřit (létající tvor může být ryba, hmyz nebo pták).
captured	zachyceno
Carcasses	Zdechliny
carcasses off	zdechliny vypnuty
Catching	Chytání
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	Ulovení tvorové, živí i ležící kolem; tvor, kterého tabulka dokáže pojmenovat, se řídí pravidlem své třídy. Krabi, krevety a olihně jsou plody moře, spadající pod Jídlo a pití.
Chests, crates and drop-set nodes. They rarely respond to the loot event. Off by default.	Truhly, bedny a uzly typu drop-set. Na loot událost reagují jen zřídka. Ve výchozím stavu vypnuto.
Class	Třída
class %s	třída %s
Classes	Třídy
Clear	Vymazat
Clear overrides	Vymazat výjimky
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	Vymaže, co tato relace zjistila z tvého batohu. Uzly pojmenované podle tabulky prefabů zůstanou beze změny.
Close	Zavřít
container (off)	kontejner (vypnuto)
Containers	Kontejnery
Controller	Ovladač
Copper	Měďáky
Copy	Kopírovat
Copy path	Kopírovat cestu
Copy to the clipboard.	Zkopírovat do schránky.
corpse	mrtvola
corpse already searched	mrtvola už prohledána
corpse: loot drops separately	mrtvola: loot padá zvlášť
creature	tvor
Creatures	Tvorové
Crops	Plodiny
crops off	plodiny vypnuty
Damaged gear	Poškozené vybavení
Dead zone around you	Mrtvá zóna kolem tebe
Decision	Rozhodnutí
default	výchozí
DirectX 12 hooks	DirectX 12 hooks
does not respond	neodpovídá
Draw water from wells	Čerpat vodu ze studní
Engine	Engine
English	Angličtina
English. %d line(s) seen this session.	Angličtina. %d řádků zobrazeno v této relaci.
entity	entity
entity %08X	entity %08X
entity %08X, %d items across every store	entity %08X, %d předmětů napříč všemi úložišti
entity %08X, bag %d of %d slots, %d items across every store	entity %08X, batoh %d z %d slotů, %d předmětů napříč všemi úložišti
Event descriptors	Popisovače událostí
Extra ore per vein	Extra ruda na žílu
failed	selhalo
fast-travel artifact	artefakt rychlého cestování
filter classes	filtrovat třídy
filter tags	filtrovat štítky
Filters	Filtry
Fish	Ryby
fish off	ryby vypnuty
Fish, and whatever else you catch in the water: crabs, shrimp, squid, starfish and seahorses.	Ryby a cokoli dalšího, co ulovíš ve vodě: krabi, krevety, olihně, hvězdice a mořští koníci.
Food and drink	Jídlo a pití
Forget	Zapomenout
found	nalezeno
Furniture	Nábytek
Furniture and decor	Nábytek a dekorace
furniture node (off)	uzel nábytku (vypnuto)
furniture off	nábytek vypnut
Game functions	Herní funkce
Game functions did not resolve; see Status.	Herní funkce se nepodařilo najít; viz Status.
Game-thread pump	Pumpa herního vlákna
gather node	sběrný uzel
Gathering	Sbírání
Ground items	Předměty na zemi
Groups	Skupiny
