# Menütext von Master Looter auf Deutsch (de).
# Maschinelle Übersetzung, erstellt von Claude, einer KI von Anthropic.
# Noch kein Muttersprachler hat sie geprüft. Korrekturen sind willkommen,
# auf GitHub (github.com/shin2344234/master-looter) oder auf der Nexus-Seite
# des Mods.
#
# Eine Zeile pro Text: das englische Original, ein Tabulator, dann die
# Übersetzung. \n steht für einen Zeilenumbruch. Zeilen, die mit # beginnen,
# werden ignoriert. Bleibt eine Zeile nach dem Tabulator leer, wird
# weiterhin der englische Text angezeigt.
# Jedes %d, %s, %.1f und die anderen Platzhalter muss genau in derselben
# Reihenfolge erhalten bleiben: sie werden zur Laufzeit durch Zahlen und
# Namen ersetzt, und eine Zeile, die sie verändert, wird beim Laden
# ignoriert, um keine falschen Werte zu riskieren.
#
# Eine Datei mit diesem Namen neben MasterLooter.asi überschreibt die im
# Plugin eingebaute Kopie.

  bag full	  Tasche voll
 (first 250)	 (erste 250)
%-18s %s (%zu hits)%s	%-18s %s (%zu Treffer)%s
%d classes	%d Klassen
%d items, %d classes, %d tags	%d Gegenstände, %d Klassen, %d Markierungen
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d Zeile(n) wurden ignoriert: ihre %%d- oder %%s-Platzhalter stimmten nicht mit dem Englischen überein, und ihre Verwendung hätte falsche Werte angezeigt.
%d matches%s	%d Treffer%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d Punkttypen wurden in dieser Sitzung erkannt. Punkte werden nach dem Prefab benannt, aus dem sie platziert wurden; alles, was in dieser Tabelle fehlt, wird erkannt, sobald es zum ersten Mal etwas abwirft. Die Typnummer eines Punktes ändert sich zwischen den Sitzungen, daher wird nach dem Beenden nichts davon behalten.
%d objects within scan range, %d lootable now.	%d Objekte in Scanreichweite, %d davon jetzt lootbar.
%d overrides	%d Überschreibungen
%s (key %u, row %d, tier %d)	%s (Taste %u, Zeile %d, Stufe %d)
%s (never looted)	%s (nie geloottet)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s ist eine maschinelle Übersetzung, die noch niemand überprüft hat. Korrekturen sind auf GitHub oder der Nexus-Seite willkommen.
%s translated by %s.	%s, übersetzt von %s.
%s, let go to keep it	%s, loslassen, um es zu behalten
1 match%s	1 Treffer%s
3 of 3	3 von 3
\"%s\" already exists. Saving over it asks first.	\"%s\" existiert bereits. Vor dem Überschreiben wird nachgefragt.
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	Ein Brunneneimer und Ähnliches werden nie geloottet, aber wenn du ihn aktivierst, bietet das Spiel die Interaktion an, damit du ihn von Hand benutzen kannst.
Abyss and Kuku	Abyss und Kuku
Abyss gear, Kuku pots and their parts.	Abyss-Ausrüstung, Kuku-Töpfe und ihre Teile.
Accessories	Zubehör
allowed	erlaubt
already in your bag	schon in deiner Tasche
always	immer
always beats the class rule; never beats always	„immer“ schlägt die Klassenregel; „nie“ schlägt „immer“
Ammunition	Munition
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Alles, was als Quest markiert ist, über alle Klassen hinweg. Aus lässt Story-Gegenstände und Rätselteile für deine eigenen Hände übrig.
Arm mechanism containers too	Auch Mechanismus-Behälter aktivieren
Arm nodes ourselves	Punkte selbst aktivieren
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	Aktivierung ignoriert Wände. Halte sie kurz, sonst sammelst du durch die Wand des nächsten Raums. Erz ist die Ausnahme und wird immer bis zu 25 m weit angefragt, denn eine Ader braucht Sekunden zum Antworten, und erst zu fragen, wenn du direkt davorstehst, macht sie so spät auf, dass es nichts mehr nützt.
Arming range	Aktivierungsreichweite
Auto-loot enabled	Auto-Loot aktiviert
Auto-loot on / off	Auto-Loot an/aus
Backups	Backups
blank for English	leer lassen für Englisch
Books and papers	Bücher und Papiere
Boss rewards, artifacts, memory items, coin pouches and reward chests.	Boss-Belohnungen, Artefakte, Erinnerungsgegenstände, Geldbeutel und Belohnungstruhen.
Break veins open rather than emptying them	Adern aufbrechen statt sie zu leeren
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	Aufbrechen steuert die eigene Zustandsmaschine des Spiels an der Ader: erst trifft der Schlag, dann folgt der Bruch, sodass der Punkt seinen Inhalt auf den Boden verstreut und genau wie unter einer Spitzhacke verschwindet. Leeren dagegen holt das Erz direkt heraus und überspringt den Abwurf ganz. Keiner der beiden Wege zahlt den Abbauertrag-Bonus deines Werkzeugs aus, den das Spiel nur einem Schlag gewährt, den es als deinen zählt; stelle daher den Zusatz unten ein, um die Differenz auszugleichen. Jede Ader wird einmal getroffen und dann in Ruhe gelassen, bis das Spiel sie neu erzeugt.
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	Schmetterlinge, Käfer, Libellen, Bienen, Spinnen, Skorpione, Schnecken und die anderen kleinen Wesen, die das Spiel als Insekten einordnet. Arten stammen aus der Kreaturentabelle; eine Kreatur, die die Tabelle nicht benennen kann, wird nur gefangen, wenn jede Kategorie, zu der sie gehören könnte, aktiv ist (ein Flieger könnte ein Fisch, ein Insekt oder ein Vogel sein).
captured	erfasst
Carcasses	Kadaver
Bodies	Leichen
carcasses off	Kadaver aus
bodies off	Leichen aus
Catching	Fangen
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	Gefangene Kreaturen, lebend oder herumliegend; eine Kreatur, die die Tabelle benennen kann, folgt ihrer Klassenregel. Krabben, Garnelen und Tintenfische sind Meeresfrüchte unter Essen und Trinken.
Chests, crates and drop-set nodes. They rarely respond to the loot event. Off by default.	Truhen, Kisten und Ablage-Punkte. Sie reagieren selten auf das Loot-Ereignis. Standardmäßig aus.
Class	Klasse
class %s	Klasse %s
Classes	Klassen
Clear	Leeren
Clear overrides	Überschreibungen löschen
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	Löscht, was diese Sitzung aus deiner Tasche herausgefunden hat. Punkte, die die Prefab-Tabelle benennt, bleiben unberührt.
Close	Schließen
container (off)	Behälter (aus)
Containers	Behälter
Controller	Controller
Copper	Kupfer
Copy	Kopieren
Copy path	Pfad kopieren
Copy to the clipboard.	In die Zwischenablage kopieren.
corpse	Leiche
corpse already searched	Leiche schon durchsucht
corpse: loot drops separately	Leiche: Loot fällt separat
creature	Kreatur
Creatures	Kreaturen
Crops	Feldfrüchte
crops off	Feldfrüchte aus
Damaged gear	Beschädigte Ausrüstung
Dead zone around you	Toter Bereich um dich herum
Decision	Entscheidung
default	Standard
DirectX 12 hooks	DirectX-12-Hooks
does not respond	reagiert nicht
Draw water from wells	Wasser aus Brunnen schöpfen
Engine	Engine
English	Englisch
English. %d line(s) seen this session.	Englisch. %d Zeile(n) in dieser Sitzung gesehen.
entity	Entität
entity %08X	Entität %08X
entity %08X, %d items across every store	Entität %08X, %d Gegenstände über alle Speicher
entity %08X, bag %d of %d slots, %d items across every store	Entität %08X, Tasche %d von %d Plätzen, %d Gegenstände über alle Speicher
Event descriptors	Ereignis-Deskriptoren
Extra ore per vein	Extra-Erz pro Ader
failed	fehlgeschlagen
fast-travel artifact	Schnellreise-Artefakt
filter classes	Klassen filtern
filter tags	Markierungen filtern
