# Texto del menú de Master Looter en español latinoamericano (es-419).
# Esta es una traducción automática hecha por Claude, una IA de Anthropic, y
# todavía no la revisó ningún hablante nativo. Las correcciones son
# bienvenidas en GitHub (github.com/shin2344234/master-looter) o en la
# página del mod en Nexus.
#
# Una línea por texto: el original en inglés, una tabulación y la
# traducción. Las líneas que empiezan con # se ignoran. \n representa un
# salto de línea, y una línea sin traducción después de la tabulación se
# muestra en inglés, así que un archivo a medio terminar sigue siendo
# usable. Todos los marcadores %d, %s, %.1f y similares deben aparecer
# igual y en el mismo orden, porque sus valores se insertan en tiempo de
# ejecución; una línea que los altere se ignora al cargar el archivo.
#
# Guarda esto como MasterLooter.es-419.txt junto al plugin (MasterLooter.asi)
# para que reemplace la copia incorporada, y pon Language=es-419 en
# MasterLooter.ini, o escribe el idioma en General, Language.

  bag full	bolsa llena
 (first 250)	 (primeros 250)
%-18s %s (%zu hits)%s	%-18s %s (%zu coincidencias)%s
%d classes	%d clases
%d items, %d classes, %d tags	%d objetos, %d clases, %d etiquetas
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d línea(s) fue(ron) ignorada(s): sus marcadores %%d o %%s no coinciden con el inglés, y usarlas habría mostrado valores incorrectos.
%d matches%s	%d coincidencias%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d tipos de punto aprendidos en esta sesión. Los puntos se nombran según el prefab desde el que se colocaron; lo que esa tabla no cubre se identifica la primera vez que produce algo. El número de tipo de un punto cambia entre sesiones, así que no se recuerda nada después de salir.
%d objects within scan range, %d lootable now.	%d objetos dentro del alcance de escaneo, %d se pueden saquear ahora.
%d overrides	%d excepciones
%s (key %u, row %d, tier %d)	%s (clave %u, fila %d, nivel %d)
%s (never looted)	%s (nunca saqueado)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s es una traducción automática que nadie ha revisado todavía. Las correcciones son bienvenidas en GitHub o en la página de Nexus.
%s translated by %s.	%s traducido por %s.
%s, let go to keep it	%s, suelta para conservarlo
1 match%s	1 coincidencia%s
3 of 3	3 de 3
\"%s\" already exists. Saving over it asks first.	\"%s\" ya existe. Se pedirá confirmación antes de sobrescribirlo.
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	Un balde de pozo y cosas por el estilo nunca se saquean, pero activarlo hace que el juego ofrezca su interacción para que puedas usarlo tú mismo.
Abyss and Kuku	Abyss y Kuku
Abyss gear, Kuku pots and their parts.	Equipo de Abyss, ollas Kuku y sus piezas.
Accessories	Accesorios
allowed	permitido
already in your bag	ya está en tu bolsa
always	siempre
always beats the class rule; never beats always	\"siempre\" le gana a la regla de clase; \"nunca\" le gana a \"siempre\"
Ammunition	Munición
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Cualquier cosa etiquetada como misión, en cualquier clase. Desactivado deja los objetos de la historia y las piezas de rompecabezas para que los tomes tú mismo.
Arm mechanism containers too	Activar también los contenedores de mecanismo
Arm nodes ourselves	Activar los puntos nosotros mismos
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	La activación ignora las paredes. Mantenla corta o recolectarás a través de la pared del cuarto de al lado. El mineral es la excepción y siempre se activa hasta a 25 m, porque una veta tarda segundos en responder, y pedirlo solo cuando ya estás encima significa que se abre demasiado tarde para servir de algo.
