# Texto del menú de Master Looter en español de España (es).
# Traducción automática hecha por Claude, una IA de Anthropic. Todavía no
# la ha revisado ningún hablante nativo.
#
# Las correcciones son bienvenidas en GitHub
# (github.com/shin2344234/master-looter) o en la página del mod en Nexus.
#
# Una línea por texto: el original en inglés, una tabulación y la
# traducción. Las líneas que empiezan por # se ignoran. \n representa un
# salto de línea: mantén el mismo número de ellos. Una línea sin
# traducción tras la tabulación se queda en inglés, así que un archivo a
# medio hacer sigue siendo perfectamente utilizable.
#
# Todo %d, %s, %.1f y los demás marcadores deben aparecer en la
# traducción tal cual y en el mismo orden que en el inglés: sus valores se
# insertan en tiempo de ejecución, y una línea que los altere se ignora al
# cargar para no imprimir valores incorrectos.
#
# Guarda este archivo como MasterLooter.es.txt junto a MasterLooter.asi
# para que sustituya a la copia incorporada en el plugin.

  bag full	  bolsa llena
 (first 250)	 (primeros 250)
%-18s %s (%zu hits)%s	%-18s %s (%zu coincidencias)%s
%d classes	%d clases
%d items, %d classes, %d tags	%d objetos, %d clases, %d etiquetas
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d línea(s) se ignoraron: sus marcadores %%d o %%s no coinciden con los del inglés, y usarlos habría mostrado valores incorrectos.
%d matches%s	%d coincidencias%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d tipos de punto identificados en esta sesión. Los puntos se nombran según el prefab con el que se colocaron; lo que esa tabla no recoge se identifica la primera vez que produce algo. El número de tipo de un punto cambia entre sesiones, así que no se recuerda nada después de salir.
%d objects within scan range, %d lootable now.	%d objetos dentro del alcance de exploración, %d saqueables ahora.
%d overrides	%d anulaciones
%s (key %u, row %d, tier %d)	%s (clave %u, fila %d, nivel %d)
%s (never looted)	%s (nunca saqueado)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s es una traducción automática que todavía no ha revisado nadie. Las correcciones son bienvenidas en GitHub o en la página de Nexus.
%s translated by %s.	%s, traducido por %s.
%s, let go to keep it	%s, suelta para conservarlo
1 match%s	1 coincidencia%s
3 of 3	3 de 3
\"%s\" already exists. Saving over it asks first.	\"%s\" ya existe. Se pedirá confirmación antes de sobrescribirlo.
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	Un cubo de pozo y cosas por el estilo nunca se saquean, pero activarlo hace que el juego ofrezca su interacción para que lo uses tú mismo.
Abyss and Kuku	Abyss y Kuku
Abyss gear, Kuku pots and their parts.	Equipo de Abyss, ollas Kuku y sus piezas.
Accessories	Accesorios
allowed	permitido
already in your bag	ya está en tu bolsa
always	siempre
always beats the class rule; never beats always	«siempre» gana a la regla de la clase; «nunca» gana a «siempre»
Ammunition	Munición
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Cualquier cosa etiquetada como misión, en todas las clases. Desactivado deja los objetos de la historia y las piezas de puzles para que los cojas tú mismo.
Arm mechanism containers too	Activar también los contenedores de mecanismo
Arm nodes ourselves	Activar los puntos nosotros mismos
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	La activación ignora las paredes. Mantenla corta o recolectarás a través de la pared de la habitación de al lado. El mineral es la excepción y siempre se alcanza hasta 25 m, porque una veta tarda varios segundos en responder, y pedirlo solo al llegar junto a ella hace que se abra demasiado tarde para servir de algo.
Arming range	Alcance de activación
