# Master Looterin valikkoteksti suomeksi.
# Käännös: Claude, Anthropicin tekoäly. Tämä on konekäännös, jota kukaan
# äidinkielinen puhuja ei ole vielä tarkistanut. Korjaukset ovat tervetulleita
# GitHubissa (github.com/shin2344234/master-looter) tai modin Nexus-sivulla.
#
# Yksi teksti per rivi: englanninkielinen alkuperäinen, sarkainmerkki, sitten
# käännös. \n tarkoittaa rivinvaihtoa. #-merkillä alkavat rivit ohitetaan, ja
# rivi, jolla ei ole käännöstä sarkaimen jälkeen, näkyy edelleen englanniksi,
# joten keskeneräinenkin tiedosto toimii. Jokainen %d, %s, %.1f ja muu
# paikkamerkki on säilytettävä täsmälleen samassa muodossa ja järjestyksessä:
# ne korvataan ajon aikana numeroilla ja nimillä, ja rivi, joka muuttaa niitä,
# ohitetaan latauksen yhteydessä, jotta vääriä arvoja ei tulostu.
#
# Tallenna tiedostona MasterLooter.<kieli>.txt liitännäisen viereen; tämän
# nimisenä tiedosto ohittaa liitännäiseen sisäänrakennetun kopion. Aseta
# sitten Language=fi tiedostoon MasterLooter.ini, tai kirjoita kieli valikon
# General-välilehden Language-kenttään.

  bag full	  laukku täynnä
 (first 250)	 (ensimmäiset 250)
%-18s %s (%zu hits)%s	%-18s %s (%zu osumaa)%s
%d classes	%d luokkaa
%d items, %d classes, %d tags	%d esinettä, %d luokkaa, %d tunnistetta
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d rivi(ä) ohitettiin: niiden %%d- tai %%s-paikkamerkit eivät vastanneet englanninkielistä tekstiä, ja niiden käyttö olisi tulostanut väärät arvot.
%d matches%s	%d osumaa%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d pistetyyppiä opittu tällä pelikerralla. Pisteet nimetään sen prefabin mukaan, josta ne sijoitettiin; kaiken, mitä taulukko ei tunne, tunnistetaan heti, kun se ensimmäisen kerran tuottaa jotain. Pisteen tyyppinumero vaihtuu pelikertojen välillä, joten mitään ei muisteta pelin sulkemisen jälkeen.
%d objects within scan range, %d lootable now.	%d kohdetta hakualueella, %d lootattavissa nyt.
%d overrides	%d poikkeusta
%s (key %u, row %d, tier %d)	%s (näppäin %u, rivi %d, taso %d)
%s (never looted)	%s (ei koskaan lootattu)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s on konekäännös, jota kukaan ei ole vielä tarkistanut. Korjaukset ovat tervetulleita GitHubissa tai Nexus-sivulla.
%s translated by %s.	%s, kääntäjä: %s.
%s, let go to keep it	%s, päästä irti tallentaaksesi
1 match%s	1 osuma%s
3 of 3	3/3
\"%s\" already exists. Saving over it asks first.	\"%s\" on jo olemassa. Sen päälle tallentaminen kysyy ensin vahvistusta.
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	Kaivon sankoa ja vastaavia ei koskaan lootata, mutta niiden aktivointi saa pelin tarjoamaan oman toimintonsa, jotta voit käyttää sitä itse.
Abyss and Kuku	Abyss ja Kuku
Abyss gear, Kuku pots and their parts.	Abyssin varusteet, Kuku-padat ja niiden osat.
Accessories	Asusteet
allowed	sallittu
already in your bag	jo laukussasi
always	aina
always beats the class rule; never beats always	aina-asetus voittaa luokkasäännön, ei koskaan -asetus voittaa aina-asetuksen
Ammunition	Ammukset
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Kaikki tehtävä-tunnisteella merkitty, kaikissa luokissa. Pois päältä jättää tarinaesineet ja pulmapelin osat sinun itsesi poimittaviksi.
Arm mechanism containers too	Aktivoi myös mekanismisäiliöt
Arm nodes ourselves	Aktivoi pisteet itse
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	Aktivointi ei välitä seinistä. Pidä se lyhyenä, tai keräät tavaraa viereisen huoneen seinän läpi. Malmi on poikkeus ja siihen ulotutaan aina jopa 25 metrin päästä, koska suoni vastaa vasta muutaman sekunnin kuluttua, ja jos sitä pyydetään vasta sen päällä seistessä, se aukeaa liian myöhään ollakseen hyödyksi.
Arming range	Aktivointietäisyys
Auto-loot enabled	Automaattilootti käytössä
Auto-loot on / off	Automaattilootti päälle / pois
Backups	Varmuuskopiot
blank for English	tyhjä tarkoittaa englantia
Books and papers	Kirjat ja paperit
Boss rewards, artifacts, memory items, coin pouches and reward chests.	Pomopalkinnot, artefaktit, muistoesineet, kolikkopussit ja palkkioarkut.
Break veins open rather than emptying them	Louhi suonet auki tyhjentämisen sijaan
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	Louhiminen ajaa pelin omaa tilakonetta suonessa: ensin isku osuu ja sitten suoni murtuu, jolloin piste kaataa sisältönsä maahan ja katoaa aivan kuten hakulla louhittaessa. Tyhjentäminen taas nostaa malmin suoraan pois ja ohittaa pudotuksen kokonaan. Kumpikaan tapa ei maksa työkalusi Louhinnan lisäsaalis -bonusta, jonka peli myöntää vain iskusta, jonka se laskee omaksesi, joten aseta alla oleva lisäys korvaamaan erotus. Jokaista suonta isketään kerran, ja sen jälkeen se jätetään rauhaan, kunnes peli synnyttää sen uudelleen.
