# Texte du menu de Master Looter en français.
# Traduction automatique produite par Claude, une IA d'Anthropic. Aucun
# locuteur natif ne l'a encore relue. Les corrections sont bienvenues sur
# GitHub (github.com/shin2344234/master-looter) ou sur la page Nexus du mod.
#
# Une ligne par texte : l'anglais d'origine, une tabulation, puis la
# traduction. \n représente un saut de ligne à conserver. Les lignes qui
# commencent par # sont ignorées. Une ligne sans traduction après la
# tabulation reste affichée en anglais, donc un fichier partiellement traduit
# reste utilisable.
# Tous les marqueurs %d, %s, %.1f et autres doivent rester exactement comme
# dans l'anglais et dans le même ordre : le jeu y insère des nombres et des
# noms au moment de l'affichage, et une ligne qui les modifie est ignorée au
# chargement plutôt que risquée.
# Un fichier de ce nom placé à côté de MasterLooter.asi remplace la copie
# intégrée au plugin.

  bag full	  sac plein
 (first 250)	 (250 premiers)
%-18s %s (%zu hits)%s	%-18s %s (%zu correspondances)%s
%d classes	%d classes
%d items, %d classes, %d tags	%d objets, %d classes, %d étiquettes
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d ligne(s) ignorée(s) : leurs marqueurs %%d ou %%s ne correspondaient pas à l'anglais, et les utiliser aurait affiché de mauvaises valeurs.
%d matches%s	%d résultats%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d types de points appris pendant cette session. Les points sont nommés d'après le prefab qui les a placés ; tout ce que cette table ignore est identifié la première fois que cela produit quelque chose. Le numéro de type d'un point change d'une session à l'autre, donc rien n'est retenu après avoir quitté le jeu.
%d objects within scan range, %d lootable now.	%d éléments dans la portée de balayage, %d prêts à être ramassés.
%d overrides	%d substitutions
%s (key %u, row %d, tier %d)	%s (touche %u, ligne %d, niveau %d)
%s (never looted)	%s (jamais ramassé)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s est une traduction automatique que personne n'a encore vérifiée. Les corrections sont les bienvenues sur GitHub ou sur la page Nexus.
%s translated by %s.	%s traduit par %s.
%s, let go to keep it	%s, relâchez pour la conserver
1 match%s	1 résultat%s
3 of 3	3 sur 3
\"%s\" already exists. Saving over it asks first.	\"%s\" existe déjà. L'enregistrer par-dessus demande d'abord confirmation.
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	Un seau de puits ou un objet semblable n'est jamais ramassé automatiquement, mais l'activer fait proposer son interaction par le jeu pour que vous puissiez l'utiliser vous-même.
Abyss and Kuku	Abyss et Kuku
Abyss gear, Kuku pots and their parts.	Équipement Abyss, pots Kuku et leurs pièces.
Accessories	Accessoires
allowed	autorisé
already in your bag	déjà dans votre sac
always	toujours
always beats the class rule; never beats always	« toujours » l'emporte sur la règle de classe ; « jamais » l'emporte sur « toujours »
Ammunition	Munitions
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Tout ce qui est étiqueté quête, dans toutes les classes. Désactivé laisse les objets d'histoire et les pièces d'énigme pour vos propres mains.
Arm mechanism containers too	Activer aussi les conteneurs de mécanisme
Arm nodes ourselves	Activer les points nous-mêmes
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	L'activation ignore les murs. Gardez une courte portée, sinon vous récolterez à travers le mur de la pièce voisine. Le minerai fait exception et reste toujours visé jusqu'à 25 m, car un filon met quelques secondes à répondre, et n'y faire appel qu'une fois dessus le ferait s'ouvrir trop tard pour être utile.
Arming range	Portée d'activation
Auto-loot enabled	Ramassage automatique activé
Auto-loot on / off	Activer/désactiver le ramassage automatique
Backups	Sauvegardes
blank for English	laisser vide pour l'anglais
Books and papers	Livres et papiers
Boss rewards, artifacts, memory items, coin pouches and reward chests.	Récompenses de boss, artefacts, objets de mémoire, bourses de pièces et coffres de récompense.
Break veins open rather than emptying them	Casser les filons plutôt que les vider
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	Casser le filon actionne la propre machine d'états du jeu : le coup touche, puis la rupture survient, si bien que le point déverse son contenu au sol et disparaît exactement comme sous une pioche. Vider, à l'inverse, retire le minerai directement et saute complètement la chute au sol. Aucune des deux méthodes ne profite du bonus de rendement minier de votre outil, que le jeu n'accorde qu'à un coup qu'il compte comme le vôtre ; réglez donc le supplément ci-dessous pour compenser la différence. Chaque filon est frappé une fois puis laissé tranquille jusqu'à ce que le jeu le fasse réapparaître.
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	Papillons, scarabées, libellules, abeilles, araignées, scorpions, escargots et les autres petites créatures que le jeu classe comme insectes. Les espèces viennent de la table des créatures ; une créature que la table ne peut pas nommer n'est attrapée que si toutes les catégories auxquelles elle pourrait appartenir sont activées (un volant pourrait être un poisson, un insecte ou un oiseau).
captured	capturé
Carcasses	Carcasses
carcasses off	carcasses désactivées
Catching	Capture
