# Master Looterメニューのテキスト、日本語。
# この翻訳はAnthropicのAIであるClaudeによる機械翻訳で、まだネイティブスピーカーによる
# 確認を受けていません。修正はGitHub（github.com/shin2344234/master-looter）または
# Nexusのページで歓迎します。
#
# 1行につき1つの文字列：英語原文、タブ、翻訳の順に並んでいます。#で始まる行は無視されます。
# \nは改行を表し、タブの後に何もない行はそのまま英語で表示されるため、翻訳が途中の
# ファイルでも問題なく使えます。
# %d、%s、%.1fなどのプレースホルダーはすべて元の順序のまま、そのまま残してください。
# 実行時に数値や名前に置き換えられるため、これらが変わった行は読み込み時に無視され、
# 誤った表示を防ぎます。
# このファイルの内容はプラグインに内蔵されています。再ビルドせずに変更するには、
# MasterLooter.asiの隣に同じ名前のファイルを置いてください。そちらが優先して読み込まれます。

  bag full	  バッグが満杯
 (first 250)	（先頭250件）
%-18s %s (%zu hits)%s	%-18s %s（%zu件ヒット）%s
%d classes	%dクラス
%d items, %d classes, %d tags	アイテム%d件、クラス%d件、タグ%d件
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d行は無視されました。%%dまたは%%sのプレースホルダーが英語原文と一致しないため、そのまま使うと誤った値が表示されるおそれがあります。
%d matches%s	%d件一致%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	今回のセッションで%d種類の採集ポイントを学習しました。採集ポイントは生成元のプレハブ名で識別され、テーブルにない場合は何かを産出した時点で初めて識別されます。種類番号はセッションごとに変わるため、終了すると記憶は残りません。
%d objects within scan range, %d lootable now.	スキャン範囲内に%d個のオブジェクト、うち現在ルート可能なのは%d個です。
%d overrides	上書き設定%d件
%s (key %u, row %d, tier %d)	%s（キー%u、行%d、等級%d）
%s (never looted)	%s（常にルートしない）
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%sは機械翻訳であり、まだ誰も確認していません。修正はGitHubまたはNexusのページで歓迎します。
%s translated by %s.	%s（翻訳：%s）
%s, let go to keep it	%s、離すと保存されます
1 match%s	1件一致%s
3 of 3	3/3
\"%s\" already exists. Saving over it asks first.	\"%s\"は既に存在します。上書き保存時には確認が入ります。
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	井戸のバケツなどは自動ルートの対象になりませんが、起動しておくと近づいたときに手動で使える状態になります。
Abyss and Kuku	アビスとクク
Abyss gear, Kuku pots and their parts.	アビス製の装備、ククの壺とその部品。
Accessories	アクセサリー
allowed	許可
already in your bag	バッグに既にあります
always	常に
always beats the class rule; never beats always	「常に」はクラスのルールより優先され、「決して」は「常に」より優先されます
Ammunition	弾薬
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	クラスを問わず「クエスト」タグが付いたすべてのアイテム。オフにするとストーリー用アイテムやパズルの部品は自分で拾うことになります。
Arm mechanism containers too	機関の入れ物も起動する
Arm nodes ourselves	採集ポイントを自動起動する
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	起動は壁を無視します。距離を短く保たないと、隣の部屋の壁越しに採集してしまいます。鉱脈は例外で、反応するまで数秒かかり、真上まで来てから頼んでは遅すぎて使い物にならないため、常に最大25mまで対象にします。
Arming range	起動範囲
Auto-loot enabled	自動ルート有効
Auto-loot on / off	自動ルート オン/オフ
Backups	バックアップ
blank for English	空欄で英語のまま
Books and papers	本と書類
Boss rewards, artifacts, memory items, coin pouches and reward chests.	ボス報酬、アーティファクト、記憶アイテム、金貨袋、報酬の箱。
Break veins open rather than emptying them	鉱脈を空にするのではなく打ち割る
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	「打ち割る」はゲーム自身の状態遷移、つるはしの命中とその後の破壊を実行するため、採集ポイントは実際に採掘したときと同じように中身を地面へ散らして消えます。「空にする」は代わりに鉱石をそのまま取り出し、ドロップの過程を省略します。どちらの方法でも採掘道具の採掘量アップは反映されません。ゲームは自分が行ったとみなす一撃にしかそれを与えないため、その差は下の追加量で補ってください。各鉱脈は一度打たれると、ゲームが再生成するまで放置されます。
