# Master Looter 메뉴 텍스트, 한국어.
# 이 번역은 Anthropic의 AI인 Claude가 기계적으로 생성한 것으로,
# 아직 원어민의 검수를 거치지 않았습니다. 수정 제안은 GitHub
# (github.com/shin2344234/master-looter)나 Nexus 모드 페이지에서 환영합니다.
#
# 한 줄에 한 문자열: 영어 원문, 탭, 번역문 순서입니다. #으로 시작하는
# 줄은 무시되며, \n은 줄바꿈을 나타내고, 탭 뒤에 아무것도 없는 줄은
# 영어 그대로 표시됩니다.
# %d, %s, %.1f 등 모든 자리표시자는 순서와 형태를 그대로 유지해야
# 합니다. 실행 중 그 자리에 값이 대입되기 때문이며, 자리표시자가
# 달라진 줄은 잘못된 값을 표시하지 않도록 불러오기 단계에서 무시됩니다.
#
# 이 파일은 MasterLooter.ko.txt로 저장하여 MasterLooter.asi 옆에 두면
# 내장된 번역 대신 읽힙니다.

  bag full	  가방 가득 참
 (first 250)	 (처음 250개)
%-18s %s (%zu hits)%s	%-18s %s (%zu회 일치)%s
%d classes	%d개 분류
%d items, %d classes, %d tags	%d개 아이템, %d개 분류, %d개 태그
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d줄이 무시되었습니다: 해당 줄의 %%d 또는 %%s 자리표시자가 영어 원문과 일치하지 않아, 사용할 경우 잘못된 값이 표시됩니다.
%d matches%s	%d개 일치%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	이번 세션에서 %d종의 노드 유형을 학습했습니다. 노드는 배치될 때 사용된 프리팹 이름으로 식별되며, 표에 없는 것은 처음 무언가를 산출했을 때 식별됩니다. 노드의 유형 번호는 세션마다 바뀌므로, 게임을 종료하면 학습 내용은 남지 않습니다.
%d objects within scan range, %d lootable now.	스캔 범위 내 %d개 오브젝트, 현재 루팅 가능 %d개.
%d overrides	%d개 재정의
%s (key %u, row %d, tier %d)	%s (키 %u, 행 %d, 등급 %d)
%s (never looted)	%s (다시 줍지 않음)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s는 아직 아무도 검토하지 않은 기계 번역입니다. GitHub 또는 Nexus 페이지에서 수정 제안을 환영합니다.
%s translated by %s.	%s 번역: %s.
%s, let go to keep it	%s, 손을 떼면 저장됩니다
1 match%s	1개 일치%s
3 of 3	3 중 3
\"%s\" already exists. Saving over it asks first.	\"%s\"이(가) 이미 있습니다. 덮어쓰기 전에 먼저 확인합니다.
