# Texto do menu do Master Looter em português europeu (pt-PT).
# Tradução automática feita pela Claude, uma IA da Anthropic; ainda não foi
# revista por um falante nativo. Correções são bem-vindas no GitHub
# (github.com/shin2344234/master-looter) ou na página do mod no Nexus.
#
# Uma linha por texto: o original em inglês, uma tabulação e a tradução.
# Linhas iniciadas por # são ignoradas. \n representa uma quebra de linha, e
# uma linha sem tradução depois da tabulação fica em inglês, por isso um
# ficheiro por acabar continua perfeitamente utilizável.
# Todo o %d, %s, %.1f e outros marcadores tem de se manter exatamente como
# aparece e pela mesma ordem: são substituídos por números e nomes durante a
# execução, e uma linha que os altere é ignorada ao carregar.
#
# Um ficheiro com este nome ao lado de MasterLooter.asi substitui a cópia
# incorporada no plugin.

  bag full	  mochila cheia
 (first 250)	 (primeiros 250)
%-18s %s (%zu hits)%s	%-18s %s (%zu ocorrências)%s
%d classes	%d classes
%d items, %d classes, %d tags	%d itens, %d classes, %d etiquetas
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d linha(s) foi(ram) ignorada(s): os marcadores %%d ou %%s não correspondem ao inglês, e usá-los imprimiria valores errados.
%d matches%s	%d resultados%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d tipos de ponto aprendidos nesta sessão. Os pontos recebem o nome do prefab a partir do qual foram colocados; o que essa tabela não cobrir é identificado da primeira vez que produzir algo. O número de tipo de um ponto muda entre sessões, por isso nada fica guardado depois de saíres.
%d objects within scan range, %d lootable now.	%d objetos dentro do alcance de verificação, %d saqueáveis agora.
%d overrides	%d substituições
%s (key %u, row %d, tier %d)	%s (chave %u, linha %d, nível %d)
%s (never looted)	%s (nunca saqueado)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s é uma tradução automática que ainda ninguém reviu. As correções são bem-vindas no GitHub ou na página do Nexus.
%s translated by %s.	%s traduzido por %s.
%s, let go to keep it	%s, larga para manter
1 match%s	1 resultado%s
3 of 3	3 de 3
\"%s\" already exists. Saving over it asks first.	\"%s\" já existe. Guardar por cima pede confirmação primeiro.
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	Um balde de poço, e coisas semelhantes, nunca são saqueados, mas acioná-lo faz o jogo oferecer a sua interação para que o possas usar à mão.
Abyss and Kuku	Abismo e Kuku
Abyss gear, Kuku pots and their parts.	Equipamento do Abismo, potes Kuku e as suas peças.
Accessories	Acessórios
allowed	permitido
already in your bag	já está na tua mochila
always	sempre
always beats the class rule; never beats always	sempre vence a regra da classe; nunca vence sempre
Ammunition	Munição
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Qualquer coisa marcada como missão, em todas as classes. Desativado mantém os itens da história e as peças de puzzle só para as tuas mãos.
Arm mechanism containers too	Acionar também os recipientes de mecanismo
Arm nodes ourselves	Acionar os pontos automaticamente
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	O acionamento ignora paredes. Mantém-no curto ou vais recolher através da parede do quarto ao lado. O minério é a exceção e é sempre alcançado até 25 m, porque um veio demora segundos a responder, e pedir só quando já estás em cima dele significa que abre tarde demais para servir de alguma coisa.
Arming range	Alcance de acionamento
Auto-loot enabled	Saque automático ativado
