# Textul meniului Master Looter in limba romana (ro).
# Traducere automata realizata de Claude, un model de inteligenta artificiala
# de la Anthropic; niciun vorbitor nativ nu a verificat-o inca. Corecturile
# sunt binevenite pe GitHub (github.com/shin2344234/master-looter) sau pe
# pagina de Nexus a modului.
#
# O linie per text: originalul in engleza, o tabulare, apoi traducerea.
# Liniile care incep cu # sunt ignorate. \n reprezinta o schimbare de linie.
# O linie fara nimic dupa tabulare ramane afisata in engleza, deci un fisier
# partial tradus este perfect utilizabil. Pastreaza fiecare %d, %s, %.1f si
# celelalte substituente exact cum apar si in aceeasi ordine: sunt inlocuite
# cu numere si nume in timpul rularii.
#
# Salveaza ca MasterLooter.ro.txt langa MasterLooter.asi pentru a suprascrie
# copia inclusa in plugin, apoi seteaza Language=ro in MasterLooter.ini sau
# scrie limba in meniul General, Language.
  bag full	  inventar plin
 (first 250)	 (primele 250)
%-18s %s (%zu hits)%s	%-18s %s (%zu potriviri)%s
%d classes	%d clase
%d items, %d classes, %d tags	%d obiecte, %d clase, %d etichete
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d linie(linii) ignorată(e): substituenții %%d sau %%s nu corespund celor din engleză, iar folosirea lor ar afișa valori greșite.
%d matches%s	%d rezultate%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	%d tipuri de puncte identificate în această sesiune. Punctele sunt numite după prefab-ul din care au fost plasate; tot ce lipsește din acel tabel este identificat prima dată când oferă ceva. Numărul de tip al unui punct se schimbă între sesiuni, deci nimic nu este reținut după ce ieși din joc.
%d objects within scan range, %d lootable now.	%d obiecte în raza de scanare, %d pot fi luate acum.
%d overrides	%d excepții
%s (key %u, row %d, tier %d)	%s (cheie %u, rând %d, nivel %d)
%s (never looted)	%s (niciodată luat)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s este o traducere automată pe care nimeni nu a verificat-o încă. Corecturile sunt binevenite pe GitHub sau pe pagina de Nexus.
%s translated by %s.	%s tradus de %s.
%s, let go to keep it	%s, eliberează pentru a păstra
1 match%s	1 rezultat%s
3 of 3	3 din 3
