# Master Looter menü metni - Türkçe.
# Bu, Anthropic'in yapay zekası Claude tarafından yapılan bir makine
# çevirisidir; henüz bir anadil konuşucusu tarafından gözden geçirilmedi.
# Düzeltmeler GitHub'da (github.com/shin2344234/master-looter) veya
# Nexus sayfasında memnuniyetle karşılanır.
#
# Satır başına bir metin: önce İngilizcesi, bir sekme, sonra çevirisi.
# # ile başlayan satırlar yok sayılır. \n bir satır sonu anlamına gelir,
# ve sekmeden sonrası boş bırakılan bir satır İngilizce olarak kalır.
# Her %d, %s, %.1f ve benzeri yer tutucu aynı sırada kalmalıdır: çalışma
# zamanında sayılarla ve adlarla değiştirilirler, bunları değiştiren bir
# satır yüklenirken yok sayılır.
#
# Eklentinin yanına MasterLooter.tr.txt olarak kaydet; bu, eklentiye
# gömülü kopyanın yerini alır.

  bag full	  çanta dolu
 (first 250)	 (ilk 250)
%-18s %s (%zu hits)%s	%-18s %s (%zu eşleşme)%s
%d classes	%d sınıf
%d items, %d classes, %d tags	%d eşya, %d sınıf, %d etiket
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d satır yok sayıldı: %%d veya %%s yer tutucuları İngilizce metinle eşleşmiyordu, bunların kullanılması yanlış değerler yazdırırdı.
%d matches%s	%d eşleşme%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	Bu oturumda %d nokta türü öğrenildi. Noktalar, yerleştirildikleri prefaba göre adlandırılır; bu tablonun kaçırdığı her şey ilk kez bir şey verdiğinde tanımlanır. Bir noktanın tür numarası oturumlar arasında değişir, bu yüzden çıktıktan sonra hiçbir şey hatırlanmaz.
%d objects within scan range, %d lootable now.	%d nesne tarama menzilinde, %d tanesi şu an yağmalanabilir.
%d overrides	%d geçersiz kılma
%s (key %u, row %d, tier %d)	%s (anahtar %u, satır %d, seviye %d)
%s (never looted)	%s (asla yağmalanmadı)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s, henüz kimsenin gözden geçirmediği bir makine çevirisidir. Düzeltmeler GitHub'da veya Nexus sayfasında memnuniyetle karşılanır.
%s translated by %s.	%s, %s tarafından çevrildi.
%s, let go to keep it	%s, kaydetmek için bırak
1 match%s	1 eşleşme%s
3 of 3	3/3
\"%s\" already exists. Saving over it asks first.	\"%s\" zaten var. Üzerine kaydetmeden önce onay istenir.
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	Kuyu kovası ve benzerleri asla yağmalanmaz, ama birini etkinleştirmek oyunun etkileşimini sunmasını sağlar, böylece onu elinle kullanabilirsin.
Abyss and Kuku	Abyss ve Kuku
Abyss gear, Kuku pots and their parts.	Abyss ekipmanları, Kuku kapları ve parçaları.
Accessories	Aksesuarlar
allowed	izinli
already in your bag	zaten çantanda
always	her zaman
always beats the class rule; never beats always	“her zaman” sınıf kuralına üstün gelir; “asla” da “her zaman”a üstün gelir.
Ammunition	Cephane
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Her sınıfta görev olarak etiketlenmiş her şey. Kapalıyken hikaye eşyaları ve bulmaca parçaları kendi ellerin için saklanır.
Arm mechanism containers too	Mekanizma konteynerlerini de etkinleştir
Arm nodes ourselves	Noktaları kendimiz etkinleştir
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	Etkinleştirme duvarları görmez. Kısa tut, yoksa bir sonraki odanın duvarından toplarsın. Maden istisnadır ve her zaman 25 m'ye kadar uzaktan denenir, çünkü bir damarın yanıt vermesi saniyeler sürer ve ancak tam üzerine geldiğinde sormak, çok geç açılıp işe yaramaması anlamına gelir.
Arming range	Etkinleştirme menzili
Auto-loot enabled	Otomatik yağma etkin
Auto-loot on / off	Otomatik yağma açık / kapalı
Backups	Yedekler
blank for English	İngilizce için boş bırak
Books and papers	Kitaplar ve kağıtlar
Boss rewards, artifacts, memory items, coin pouches and reward chests.	Patron ödülleri, eserler, hafıza eşyaları, para keseleri ve ödül sandıkları.
Break veins open rather than emptying them	Damarları boşaltmak yerine kırarak aç
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	Kırma, damarda oyunun kendi durum makinesini çalıştırır: önce vuruş iner, sonra kırılma gerçekleşir, böylece nokta içeriğini yere döker ve tam olarak bir kazma altında olduğu gibi kaybolur. Boşaltma ise madeni doğrudan çıkarır ve düşmeyi tamamen atlar. Her iki yol da aletinin Maden Verimi Artışını ödemez, çünkü oyun bunu yalnızca kendi vuruşun saydığı bir vuruşa verir; farkı kapatmak için aşağıdaki ekstrayı ayarla. Her damara bir kez vurulur, sonra oyun onu yeniden oluşturana kadar dokunulmaz.
