# Master Looter menu text, Simplified Chinese (简体中文).
# Translated by dofo7777.
#
# dofo7777 翻译完成后新增的行是由 Claude（Anthropic 出品的 AI）机器翻译而成，
# 尚未经过母语者校对。欢迎通过 GitHub（github.com/shin2344234/master-looter）
# 或 Nexus 页面提出更正。
#
# One string per line: the English, a tab, then the translation. Lines
# starting with # are ignored, \n is a line break, and a line with nothing
# after the tab is shown in English.
# Every %d, %s and %.1f has to survive in the same order, because these are
# printed with the numbers substituted in. A line that changes them is
# ignored at load rather than risked.
#
# This copy is built into the plugin. To change it without rebuilding, put a
# file of this name next to MasterLooter.asi and it will be read instead.

  bag full	  背包已满
 (first 250)	 (前 250 个)
%-18s %s (%zu hits)%s	%-18s %s (%zu 次命中)%s
%d classes	%d 个类别
%d items, %d classes, %d tags	%d 个物品，%d 个类别，%d 个标签
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d 行被忽略：其 %%d 或 %%s 占位符与英文原文不匹配，使用它们会导致显示错误的数值。
%d matches%s	%d 个匹配%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	本次会话已学习 %d 种资源点类型。资源点依据生成时所用的预制体命名；若表中缺失，则在其首次产出物品时进行识别。资源点的类型编号在各次会话间会发生变化，因此退出游戏后不会保留任何记录。
%d objects within scan range, %d lootable now.	扫描范围内共有 %d 个对象，当前可拾取 %d 个。
%d overrides	%d 个覆盖规则
%s (key %u, row %d, tier %d)	%s (键值 %u, 行 %d, 阶级 %d)
%s (never looted)	%s (从不拾取)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s 是一份尚未有人校对的机器翻译，欢迎通过 GitHub 或 Nexus 页面提出更正。
%s translated by %s.	%s 由 %s 翻译。
%s, let go to keep it	%s，松开按键以保留
1 match%s	1 个匹配%s
3 of 3	3/3
\"%s\" already exists. Saving over it asks first.	\"%s\" 已存在。覆盖保存时会先进行确认。
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	水桶等物品从不会被自动拾取，但对其激活预载能让游戏提供互动提示，方便手动使用。
Abyss and Kuku	阿比斯、嘟嘟鸟
Abyss gear, Kuku pots and their parts.	阿比斯齿轮、嘟嘟鸟铁锅及其物品
Accessories	饰品
allowed	允许
already in your bag	已在背包中
always	总是
always beats the class rule; never beats always	“总是”优先于类别规则；“从不”优先于“总是”
Ammunition	弹药
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	所有类别中带有“任务”标签的物品。关闭此项可将剧情物品与解谜物品留待手动拾取。
Arm mechanism containers too	同时激活机关容器
Arm nodes ourselves	主动激活资源点
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	激活会穿透墙壁。请保持较短距离，否则可能会隔墙采集相邻房间的资源。矿石是例外，激活距离始终可达 25 米，因为矿脉需要数秒才能响应，等到站在它跟前才激活就为时已晚，起不到作用。
Arming range	激活范围
Auto-loot enabled	自动拾取已启用
Auto-loot on / off	自动拾取（开/关）
Backups	备份
blank for English	留空使用英文
Books and papers	书籍与文件
Boss rewards, artifacts, memory items, coin pouches and reward chests.	首领奖励、阿比斯神器、记忆碎片、钱袋和奖励宝箱。
Break veins open rather than emptying them	击碎矿脉而非直接清空
