# Master Looter menu text, Traditional Chinese (繁體中文).
# Translated by dofo7777.
#
# One string per line: the English, a tab, then the translation. Lines
# starting with # are ignored, \n is a line break, and a line with nothing
# after the tab is shown in English.
# Every %d, %s and %.1f has to survive in the same order, because these are
# printed with the numbers substituted in. A line that changes them is
# ignored at load rather than risked.
#
# This copy is built into the plugin. To change it without rebuilding, put a
# file of this name next to MasterLooter.asi and it will be read instead.
#
# dofo7777 的翻譯之後新增的行，是由 Claude（Anthropic 開發的 AI）產生的機器翻譯，
# 尚未經過任何人校對，歡迎至 GitHub（github.com/shin2344234/master-looter）或 Nexus 頁面提出修正。

  bag full	  背包已滿
 (first 250)	 (前 250 筆)
%-18s %s (%zu hits)%s	%-18s %s (%zu 次命中)%s
%d classes	%d 個類別
%d items, %d classes, %d tags	%d 個物品、%d 個類別、%d 個標籤
%d line(s) were ignored: their %%d or %%s placeholders did not match the English, and using them would print the wrong values.	%d 行已被忽略：其 %%d 或 %%s 佔位符與英文原文不相符，使用它們會導致顯示錯誤的數值。
%d matches%s	%d 個相符%s
%d node kinds learned this session. Nodes are named by the prefab they were placed from; anything that table misses is identified the first time it yields something. A node's type number changes between sessions, so nothing is remembered after you quit.	本次工作階段已學習 %d 種資源點類型。資源點是依據生成時所用的預製物品（Prefab）命名；若該表有所遺漏，則會在首次產出物品時進行識別。資源點的類型編號在每次啟動之間都會改變，因此退出遊戲後不會保留任何記錄。
%d objects within scan range, %d lootable now.	掃描範圍內共有 %d 個物品，目前可拾取 %d 個。
%d overrides	%d 個覆寫規則
%s (key %u, row %d, tier %d)	%s (鍵值 %u, 列 %d, 階級 %d)
%s (never looted)	%s (從不拾取)
%s is a machine translation that nobody has checked yet. Corrections are welcome on GitHub or the Nexus page.	%s 是尚未有人校對過的機器翻譯，歡迎在 GitHub 或 Nexus 頁面提出修正。
%s translated by %s.	%s 由 %s 翻譯。
%s, let go to keep it	%s，放開按鍵以保留
1 match%s	1 個相符%s
3 of 3	3/3
\"%s\" already exists. Saving over it asks first.	\"%s\" 已存在。覆蓋儲存前會先進行確認。
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	水桶等物品從不自動拾取，但對其預載能讓遊戲顯示互動提示，以便手動使用。
Abyss and Kuku	阿比斯與嘟嘟鸟
Abyss gear, Kuku pots and their parts.	阿比斯的齿轮、嘟嘟鸟铁锅及其物品。
Accessories	飾品
allowed	允許
already in your bag	已在背包中
always	總是
always beats the class rule; never beats always	「總是」優先於類別規則；「從不」優先於「總是」
Ammunition	彈藥
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	所有類別中帶有「任務」標籤的物品。關閉此項可將劇情拾取物與解謎構件留待手動收集。
Arm mechanism containers too	同時預載機關容器
Arm nodes ourselves	主動預載資源點
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	預載會穿透牆壁。請保持較短距離，否則可能會隔牆採集隔壁房間的資源。礦石則是例外，一律以最遠 25 公尺預載，因為礦脈需要數秒才會回應，等站到礦脈上才詢問就太遲，起不了作用。
Arming range	預載範圍
Auto-loot enabled	自動拾取已啟用
Auto-loot on / off	自動拾取 開/關
Backups	備份
blank for English	留空使用英文
Books and papers	書籍與文件
Boss rewards, artifacts, memory items, coin pouches and reward chests.	王級獎勵、阿比斯神器、記憶碎片、錢袋與獎勵箱。
Break veins open rather than emptying them	打破礦脈而非直接取空
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	打破礦脈會驅動遊戲自身在該礦脈的狀態機，也就是揮擊命中後接著碎裂，讓資源點把內容物灑落在地上並消失，與用鎬子敲開時完全相同。取空則是直接把礦石取出，完全略過掉落過程。兩種方式都不會套用工具的「採礦收穫加成」，因為遊戲只會把它給予算作你自己的一次揮擊，所以請用下方的額外礦石來補足差額。每條礦脈只會被打一次，之後便會保持原狀，直到遊戲讓它重生為止。
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	蝴蝶、甲蟲、蜻蜓、蜜蜂、蜘蛛、蠍子、蝸牛，以及遊戲歸類為昆蟲的其他小型生物。物種名稱來自生物資料表；若資料表無法為某生物命名，只有在牠可能屬於的每個類別都已開啟時才會被捕捉（例如會飛的生物可能是魚、昆蟲或鳥類）。
captured	已攔截
Carcasses	生物遺骸
Bodies	屍體
carcasses off	遺骸已關閉
bodies off	屍體關閉
Catching	捕捉
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	已捕獲的生物，無論是活的還是倒在地上的；資料表能命名的生物依其類別規則處理。螃蟹、蝦與魷魚屬於「食物與飲品」底下的海鮮。
Chests, crates and drop-set nodes. They rarely respond to the loot event. Off by default.	箱子、木箱與掉落組資源點。它們很少對拾取事件有反應。預設為關閉。
Class	類別
class %s	類別 %s
Classes	類別
Clear	清除
Clear overrides	清除覆寫規則
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	清除本次工作階段從背包中分析出的資料。由預製物品表命名的資源點不受影響。
Close	關閉
container (off)	容器 (已關閉)
Containers	容器
Controller	控制器
Copper	銅幣
Copy	複製
Copy path	複製路徑
Copy to the clipboard.	複製至剪貼簿。
corpse	屍體
corpse already searched	屍體已搜刮
corpse: loot drops separately	屍體：掉落物獨立掉落
